DB13,X0.0;L3_Main_OFF
DB13,X0.1;L3_Main_ON
DB13,X0.2;L3_Corridor
DB13,X0.3;L3_Server
DB13,X0.4;L3_R1_1
DB13,X0.5;L3_R1_2
DB13,X0.6;L3_R2_1
DB13,X0.7;L3_R2_2
DB13,X1.0;L3_R3_1
DB13,X1.1;L3_R3_2
DB13,X1.2;L3_R4_1
DB13,X1.3;L3_R4_2
DB13,X1.4;L3_R5_1
DB13,X1.5;L3_R5_2
DB13,X1.6;L3_R6_1
DB13,X1.7;L3_R6_2
DB13,X2.0;L3_R7_1
DB13,X2.1;L3_R7_2
DB13,X2.2;L3_T1
DB13,X2.3;L3_T2
DB13,X2.4;L3_T3
DB13,X2.5;B3_R4_1
DB13,X2.6;B3_R4_2
DB13,X2.7;B3_R5_1
DB13,X3.0;B3_R5_2
DB13,X3.1;B3_R6_1
DB13,X3.2;B3_R6_2
DB13,X3.3;B3_R7_1
DB13,X3.4;B3_R7_2
Q130.2;L3_DO_Corridor
Q130.3;L3_DO_Server
Q130.4;L3_DO_R1_1
Q130.5;L3_DO_R1_2
Q130.6;L3_DO_R2_1
Q130.7;L3_DO_R2_2
Q131.0;L3_DO_R3_1
Q131.1;L3_DO_R3_2
Q131.2;L3_DO_R4_1
Q131.3;L3_DO_R4_2
Q131.4;L3_DO_R5_1
Q131.5;L3_DO_R5_2
Q131.6;L3_DO_R6_1
Q131.7;L3_DO_R6_2
Q132.0;L3_DO_R7_1
Q132.1;L3_DO_R7_2
Q132.2;L3_DO_Toilet1
Q132.3;L3_DO_Toilet2
Q132.4;L3_DO_Toilet3
Q133.0;B3_DO_R4_1
Q133.1;B3_DO_R4_2
Q133.2;B3_DO_R5_1
Q133.3;B3_DO_R5_2
Q133.4;B3_DO_R6_1
Q133.5;B3_DO_R6_2
Q133.6;B3_DO_R7_1
Q133.7;B3_DO_R7_2
Q134.0;H3_DO_R1
Q134.1;H3_DO_R2
Q134.2;H3_DO_R3
Q134.3;H3_DO_R4
Q134.4;H3_DO_R5
Q134.5;H3_DO_R6
Q134.6;H3_DO_R7
DB9,R72;H3_min
DB9,R76;H3_max
DB9,R80;T3_1
DB9,R84;T3_2
DB9,R88;T3_3
DB9,R92;T3_4
DB9,R96;T3_5
DB9,R100;T3_6
DB9,R104;T3_7
DB9,R108;t_out
DB9,R112;t_forecast